,name,author,link,rating,rating_count,review_count,price,pages,pages_count,text_of_reviews,age,year
128,Робототехника. Управление квадрокоптером. 8–11 классы. Учебное пособие,Д. Г. Копосов,https://www.litres.ru/book/d-g-koposov/robototehnika-upravlenie-kvadrokopterom-8-11-klassy-uchebnoe-p-66645348/,5.0,7,0,375.00,129 стр. ,129,[],12+,2021
129,Иерархические структуры и их компьютерная реализация в расчете светодиодных оптических систем,В. В. Байнев,https://www.litres.ru/book/v-v-baynev/ierarhicheskie-struktury-i-ih-komputernaya-realizaciya-v-rasche-27109182/,0.0,0,0,168.00,12 стр. ,12,[],0+,2017
130,Python для сложных задач. Наука о данных (pdf+epub),Джейк Вандер Плас,https://www.litres.ru/book/dzh-vander-plas/python-dlya-slozhnyh-zadach-nauka-o-dannyh-i-mashinnoe-obu-27612904/,4.1,35,6,699.00,592 стр. ,592,"['А на мой взгляд это как раз книга для начинающих разбираться в машинном обучении с использованием библиотек Python. Профессионалы из ', 'отрасли и участники соревнований Kaggle это уже знают и применяют. Последовательно описаны оболочка IPython, библиотека NumPy для векторных вычислений, библиотека Pandas для манипуляции данными, Matplotlib для рисования графиков и, наконец, собственно библиотека алгоритмов машинного обучения Scikit-Learn. Все подробности вместить в одну книгу невозможно, поэтому впоследствии при необходимости нужно будет читать книги других авторов, посвященные конкретной библиотеке.', 'Книга не для начального уровня, наиболее подойдет для профессионалов из отрасли машинного обучения, программирования и анализа. В книге подробно описаны методы, хорошо структурирована информация, полезно иметь не только электронную, но и бумажную версию.', 'Очень хорошая книга, вводящая в DS и дающая уверенность. Много примеров кода, датасетов, примеров визуализации, построения моделей, разбора работы с Pandas. Всё расписано от начала работы, предобработки и построения признаков и до готовой модели для самых разных задач. Очень рекомендую.', 'Для тех у кого есть книга «Python и анализ данных» первые 400 страниц в принципе можно не читать. Это книга что-то вроде справочника для начинающих. По теме же самого ML очень мало написано.', 'Книга будет полезна начинающих изучать машинное обучение на Python. Рассмотрены необходимые библиотеки, теория иллюстрируется примерами, которые вместе с базами данных можно скачать по приведенной в книге ссылке.']",16+,2023
132,Модели и алгоритмы расчета устройств для гашения пульсаций газообразной среды в трубопроводных системах,М. А. Ромашкин,https://www.litres.ru/book/e-r-moshev/modeli-i-algoritmy-rascheta-ustroystv-dlya-gasheniya-pulsaciy-g-7065072/,0.0,0,0,96.00,20 стр. ,20,[],0+,2014
134,Рекурсивная книга о рекурсии (pdf+epub),Эл Свейгарт,https://www.litres.ru/book/el-sveygart/rekursivnaya-kniga-o-rekursii-pdf-epub-69434434/,4.5,2,1,699.00,336 стр. ,336,"['Сейчас углубился в тему функционального программирования и книга дополняет информацией по рекурсивным функциям. Информация в книге изложена в доступной форме и подойдёт для уже имеющих навыки в написании кода на JS и Python. Как мне показалось в книге примеров на Python больше чем на JS (выбор очевиден Python более дружелюбен). В целом книгу рекомендую тем кто хочет разобраться с рекурсией в теории - это больше учебник, а не инструкция к применению. Практические задания в книге есть, но в виде задач для закрепления пройденного материала.']",16+,2022
135,Сборник задач для подготовки к экзамену «1С:Специалист» по платформе «1С:Предприятие 8.3» (+ epub),Фирма «1С»,https://www.litres.ru/book/firma-1s-24817412/sbornik-zadach-dlya-podgotovki-k-ekzamenu-1s-specialist-68054173/,4.0,7,3,549.00,221 стр. ,221,"['Хорошая книга. Постановка задач на высоком и профессиональном уровне! Думаю очень поможет подготовиться к данному экзамену.', 'Новый сборник задач - переработанный, думаю очень поможет подготовиться к данному экзамену, подача материала и оформление, как всегда на очень высоком уровне', 'Отличная книга! Готовлюсь к экзаменам 1С по книгам данного издательства. Актуальные задания для подготовки к экзамену и разобранное решение всегда помогают в этом.']",0+,2022
136,QNX/UNIX: анатомия параллелизма,Егор Горошко,https://www.litres.ru/book/egor-goroshko/qnx-unix-anatomiya-parallelizma-24499878/,4.0,4,2,190.00,287 стр. ,287,"['Редкая книга, хотя и в такой сжатой форме, но охваченно довольно много терминологии связанной с ОСРВ. Хорошая основа для дальнейшего изучения темы.', 'Редкая книга, хотя и в такой сжатой форме, но охваченно довольно много терминологии связанной с ОСРВ. Хорошая основа для дальнейшего изучения темы.']",0+,2006
137,Модель управления затратами на повышение квалификации преподавателей университета,Е. А. Власова,https://www.litres.ru/book/e-a-vlasova/model-upravleniya-zatratami-na-povyshenie-kvalifikacii-prepoda-5019783/,0.0,0,0,96.00,14 стр. ,14,[],0+,2008
138,Об одном программном средстве мультимедийной поддержки учебных курсов по информатике,Е. В. Архангельская,https://www.litres.ru/book/e-v-arhangelskaya/ob-odnom-programmnom-sredstve-multimediynoy-podderzhki-u-26119494/,0.0,0,0,168.00,7 стр. ,7,[],0+,2017
140,Разработка и внедрение интерпретатора декларативного языка моделирования Web-интерфейсов на высоконагруженных системах,А. В. Силуянов,https://www.litres.ru/book/a-v-siluyanov/razrabotka-i-vnedrenie-interpretatora-deklarativnogo-yazyka-9463870/,0.0,0,0,96.00,16 стр. ,16,[],0+,2015
141,Django 3.0. Практика создания веб-сайтов на Python,Владимир Дронов,https://www.litres.ru/book/vladimir-dronov/django-3-0-praktika-sozdaniya-veb-saytov-na-python-68998900/,3.5,2,0,549.00,699 стр. ,699,[],0+,2022
142,Технология программной имплементации цифрового двойника в контур IoT управления HVAC-системой,О. В. Горшков,https://www.litres.ru/book/a-v-kychkin/tehnologiya-programmnoy-implementacii-cifrovogo-dvoynika-v-kon-67125372/,0.0,0,0,168.00,15 стр. ,15,[],0+,2021
143,Задачник по PHP (с решениями),Роман Игоревич Григорьев,https://www.litres.ru/book/roman-igorevich-grigorev/zadachnik-po-php-s-resheniyami-30482497/,3.9,21,5,119.00,39 стр. 2 иллюстрации,39,"['Сырой, недоработанный сборник задач с сайтов по помощи php ( задачи один в один), с кучей ошибок, как в дано, так и в решениях', 'Никому не советую', 'Много ошибок! плохо читаемый код в условиях и решениях. Видимо герой данной книги копипаст-@утист! ', 'Никому не советую! всем лучи добра', 'Всем привет эту книгу я наткнулся нечаянно начал читать первую страницу и вижу всё там объясняется всё рассказывается и есть задачи. Как нужно решать !)', 'Arthur Mironovsky я обрадовался но потом ребята пишут что это нерабочая книга', 'Жаль потраченых денег. Книга содержит очень много ошибок и опечаток. Код, представленный в решениях зачастую нерабочий или реализация решения приводится через ж..пу, что ставит начинающих программистов на неправильный путь.', 'Не рекомендую данную книгу.', 'Хороший сборник задач, есть большое количество тематических задач, вариантов задач много, можно найти нужную задачу, всё по делу, ничего лишнего!']",12+,2018
144,Программирование на VBA в Excel 2016,Елена Яковлева,https://www.litres.ru/book/nina-komolova/programmirovanie-na-vba-v-excel-2016-28290280/,3.6,66,8,349.00,431 стр. ,431,"['Книга так себе, не хватает более подробных объяснений, два слова о новом операторе и сразу пример. Таким образом книга не столько учит программированию, сколько разбирает очень конкретные примеры, которые в реальной работе не понадобятся.', 'На самом деле, все про VBA написано в стандартной документации Microsoft. Она есть в интернете и вызывается через Ctrl+F1 на выделенном слове кода.', 'Для тех кто «плавает» или путается в терминологии или испытывает сложности с английским (в переводе на русский документацию Microsoft читать сложно) эта книжка, скорее всего, поможет.', 'В книге много примеров. Глоссарий и оглавление легко позволяют сориентироваться, разобраться и решить конкретную задачу. Однако, лучше вдумчиво пользоваться приведенными в книжке примерами кодов, поскольку они часто содержат ошибки.', 'Огорчил факт отсутствия файла с материалами, которые по замыслу авторов должны прилагаться к этому пособию. Конкретно у Litres их скачать нельзя. Материалы можно скачать по ссылке, указанной в самой книжке. ', '""Три звезды"" за нудные и неприкладные примеры и множество ошибок.', 'Vitalee Avvakumov, если Вы обнаружили ошибки, которые содержат примеры кодов, то укажите, пожалуйста, какие ошибки и где именно они есть.', 'Понравилось, что много комментариев и есть перевод команд, справочники, но мало примеров и пояснений к ним. Электронный архив защищен паролем, пароль в разделе «Описание электронного архива». Без электронных примеров сложно понять, что ты сделала не так, если макрос не сработал.', 'Хорошая книга для обучения на практических примерах. К сожалению, некоторые макросы, приведённые в данной книге, написаны с ошибками и не работают.', 'Хорошая и полезная книга. Для работы время от времени требуется программирование в среде Exel, такой справочник помогает решать возникающие проблемы.']",12+,2017
145,Задача параметрического программирования с моделями прогнозирования урожайности сельскохозяйственных культур,М. Н. Барсукова,https://www.litres.ru/book/m-n-barsukova/zadacha-parametricheskogo-programmirovaniya-s-modelyami-prog-67127220/,0.0,0,0,168.00,13 стр. ,13,[],0+,2021
147,C# 10 и .NET 6. Современная кросс-платформенная разработка (pdf + epub),Марк Дж. Прайс,https://www.litres.ru/book/mark-dzh-prays/c-10-i-net-6-sovremennaya-kross-platformennaya-razrabotka-p-69166252/,4.7,6,5,699.00,1019 стр. ,1019,"['Пожалуй, лучшая книга для изучения C#, которая особенно понравится тем, кто делает лишь первые шаги на поприще разработки или переходит с другого языка. Прайс сосредоточился на описании возможностей C# и платформы .NET, так что здесь вы не найдете оторванных от реальности задачек на сообразительность, которыми любят злоупотреблять иные авторы: все четко и по делу с обилием практических примеров, которые помогают понять, как и почему тот или иной код работает в данной ситуации. Благодаря этому новички смогут быстро разобраться, что к чему, а программисты, переходящие с другого ЯП — оперативно вникнуть в суть и провести параллели с уже знакомыми технологиями.', 'Спасибо лит рес за такую цену и возможность учиться по этой книге. бумажная версия стоит нереально дорого 4к рублей. Даже за предыдущее издание', 'Новейшая информация за отличную цену. Да, можно бесплатно учиться в интернете - но только в толковом учебнике вся информация разложена по полочкам и переведена!', 'Спасибо большое за перевод актуальный литературы. Конечно мог бы и спиратить, но хорошую книгу даже жалко не купить.', 'в книге есть все что необходимо для уверенного знания языка и платформы. буду использовать как справочник и для фундаментального освоения предмета. Книга очень полезна при подготовке к собеседованиям.', 'Автор начинает простую тему, раскрывает её не полностью (например про типы данных), потом нагружает читателя побитовыми операциями и говорит ""вот вам кусок кода - смотрите что он выведет"" вместо объяснения как работают эти операции. Сами разберётесь.', 'Или пример с консольным вводом/выводом: даёт кусок кода с разными стримами и работой с файлами, а потом говорит, что про стримы поговорим через 7 глав.', 'Рассказывает про оператор switch, а потом даёт новый switch на лямбдах. Что за лямбды? - да хз. Позже где-то расскажу.', 'В лоб кидает массивы, интерфейсы, стримы и т.д. не объясняя, что это вообще за зверь. И таких примеров куча.', 'Ну дай ты простые примеры, иначе, начинающие читатели скажут ""Что здесь вообще происходит ?"" и забросят книжку.', 'А вот мы сейчас классы будем учить. У классов есть такие-то модификаторы доступа. После того как экземпляр bob будет создан.... КАК он будет создан? Откуда он возьмётся ?', 'Очень много внимания уделено разным IDE, которые только запутают начинающего читателя. Особенно VS CODE, который нужно с бубном настраивать. Ну дай ты обычный VS - он проще.', '- Очень много терминологии, которая не разъясняется. ', '- Непоследовательность подачи информации. Приходится скакать между разделами', '- Переусложнённые примеры или примеры с недостающей информацией', '- Непонятно на кого нацелена книга. Для начинающего студента айтишника - сложная. Для опытных шарповиков - почти ничего нового. Разве что для джунов полезна будет, дабы запонить некоторые пробелы в знаниях']",16+,2021
149,Последнее доказательство существования Творца,Вячеслав Сейид,https://www.litres.ru/book/vyacheslav-seyid/poslednee-dokazatelstvo-suschestvovaniya-tvorca-70243198/,4.5,2,0,199.00,70 стр. 1 иллюстрация,70,[],12+,2024
150,Визуальное программирование на Java Swing в NetBeans,Сергей Николаевич Талипов,https://www.litres.ru/book/sergey-nikolaevich-tal/vizualnoe-programmirovanie-na-java-swing-v-netbeans-65425013/,5.0,1,0,249.00,221 стр. 169 иллюстраций,221,[],12+,2019
152,Оптимизация тестирования сложных цифровых устройств,В. Б. Шувалов,https://www.litres.ru/book/v-b-shuvalov/optimizaciya-testirovaniya-slozhnyh-cifrovyh-ustroystv-7065077/,3.0,1,0,96.00,6 стр. ,6,[],0+,2014
153,Разработка сложных отчетов в «1С:Предприятии 8». Система компоновки данных (+ epub),Е. Ю. Хрусталева,https://www.litres.ru/book/e-u-hrustaleva/razrabotka-slozhnyh-otchetov-v-1s-predpriyatii-8-sistema-ko-70927897/,0.0,0,0,490.00,485 стр. ,485,[],12+,2024
154,Инструментальная среда восстановления исходного кода программы – декомпилятор TyDec,А. В. Чернов,https://www.litres.ru/book/a-v-chernov/instrumentalnaya-sreda-vosstanovleniya-ishodnogo-koda-programm-5002533/,0.0,0,0,96.00,25 стр. ,25,[],0+,2010
156,Имитационное моделирование развития и тушения пожаров в системе подготовки специалистов противопожарной службы,А. А. Субачева,https://www.litres.ru/book/a-a-subacheva/imitacionnoe-modelirovanie-razvitiya-i-tusheniya-pozharov-v-5019871/,0.0,0,0,96.00,11 стр. ,11,[],0+,2008
157,"Менеджер событий на языке C# в Unity3D: разработка, оценка удобства использования и производительности",П. Ф. Фролов,https://www.litres.ru/book/v-s-palto/menedzher-sobytiy-na-yazyke-c-v-unity3d-razrabotka-ocenka-udobst-18739760/,3.7,9,1,168.00,21 стр. ,21,"['Это скорее научная статья, а не самостоятельная книга. Если перед вами стоит задача организации обмена сообщениями и данными между различными объектами, то полезная информация тут есть.']",0+,2016
158,Проектное решение SAP. Учет результатов,Наталия Сергеевна Михеева,https://www.litres.ru/book/nataliya-sergeevna-miheeva/proektnoe-reshenie-sap-uchet-rezultatov-66072392/,5.0,2,1,990.00,72 стр. 61 иллюстрация,72,"['Полезная методичка. Также нечасто встретишь литературу по SAP на русском языке. Для тех, кто хочет лучше разобраться в предмете, данная книга будет полезной.']",16+,2021
159,Python и анализ данных,Уэс Маккинни,https://www.litres.ru/book/ues-makkinni-10688670/python-i-analiz-dannyh-22805830/,3.7,98,9,890.00,484 стр. ,484,"['Замечательная книга. ', 'Но ужасный формат предоставления – не работает навигация по книге, поиск по слову. ', 'Если это не пугает – рекомендую. Пожалуйста, доработайте формат предоставления информации в книге.', 'Книга хорошая, но вот формат в котором она продается не удобный. После оплаты предоставляется возможность чтения через браузер – не поиском не воспользоваться, не код скопировать, плюс содержание не интерактивное, постоянно приходится работать колесиком мыши. Жалею о потраченных деньгах!!!', 'Книга хорошая, автор крут, но кто-то (не знаю кто, издатели или представители автора) совсем оборзел. За такие деньги никакого документа, отвязанного от навязчивого и зверски неудобного браузера ЛитРеса (невозможно даже масштабирование текста, а у меня плохое зрение). И по ссылкам учебные материалы найти не удалось, сайты мёртвые. (((', 'Книга хорошая. Подробно описывает основные возможности библиотек , используемых для анализа данных. Требует хотя бы минимального уровня владения языком Python. Несколько лет назад купил оригинальное издание на английском. Теперь купил переводное издание. Перевод нормальный', 'Замечательная книга. Очень помогла разобраться с основами анализа данных на python. Думаю, что для многих людей, желающих заняться машинным обучением и анализом данных, эта книга подойдет как нельзя лучше.']",0+,2013
160,Scala для нетерпеливых,Кей Хорстманн,https://www.litres.ru/book/key-horstmann/scala-dlya-neterpelivyh-6089833/,4.2,17,2,479.00,416 стр. ,416,"['Великолепная книга. Не хуже Core Java. Перо мастера не может ошибаться :-) Через приложение «Читай» книга вполне читабельна на 5-дюймовом телефоне.', 'Книга написана очень серьезным автором и рекомендуется автором языка – тут как бы и думать нечего. Надо брать. ', 'Сделана для уже опытных Java-разработчиков, которым понадобилас скала. Из своего опыта скажу – она делает свое дело. После нее слушать курс самого Мартина Одерски гораздо комфортнее.']",0+,2017
161,Java Persistence API и Hibernate,Гэвин Кинг,https://www.litres.ru/book/gevin-king-21051037/java-persistence-api-i-hibernate-48411103/,4.7,6,0,790.00,634 стр. ,634,[],0+,2016
162,DirectX 10 – это просто. Программируем графику на С++,Алексей Попов,https://www.litres.ru/book/aleksey-popov-2/directx-10-eto-prosto-programmiruem-grafiku-na-s-6661618/,4.0,1,0,183.00,456 стр. ,456,[],12+,2008
163,"101 совет начинающим разработчикам в системе «1С:Предприятие 8» (+ 2epub). Издание 2, стереотипное",Е. Ю. Хрусталева,https://www.litres.ru/book/e-u-hrustaleva/101-sovet-nachinauschim-razrabotchikam-v-sisteme-1s-predpri-70759390/,0.0,0,0,350.00,214 стр. ,214,[],12+,2024
164,Методологические и программно-технологические аспекты внедрения процессного управления в ИТ-компании,А. И. Волков,https://www.litres.ru/book/a-i-volkov/metodologicheskie-i-programmno-tehnologicheskie-aspekty-vnedren-7064406/,1.5,2,1,168.00,8 стр. ,8,"['Вряд ли эта брошюра стоит потраченных денег. В ней автор перечисляет на 5 страницах известные подходы к моделированию процессов, не углубляясь особо в каждый из них. Практической пользы мало.']",0+,2014
165,Системное программирование в Windows,Александр Побегайло,https://www.litres.ru/book/aleksandr-pobegaylo/sistemnoe-programmirovanie-v-windows-6654118/,4.9,8,1,271.00,1034 стр. ,1034,"['Неплохая книга, читал ее еще в институте (в 2010 году). На тот момент мне показалось это достаточно подробным руководством.Сейчас решил прочитать повторно )']",12+,2006
166,Информатика. Программирование в примерах и задачах,Т. Ю. Грацианова,https://www.litres.ru/book/t-gracianova/informatika-programmirovanie-v-primerah-i-zadachah-11278926/,4.3,15,2,495.00,373 стр. ,373,"['Хорошая книга, лего обьясняет основы программирования, алгоритмов.', 'Паскаль хорошо помогает изучить основы конструирования по.', 'Минусы: в решениях некоторых задач есть ошибки.', 'Книга «Информатика. Программирование в примерах и задачах» поможет, быстро и с нуля, освоить Pascal для успешной сдачи ЕГЭ по программированию. Данная книга хорошо подойдет для самостоятельной подготовки к ЕГЭ программированию. Материал в книге разбит на 15 глав, в каждой из которых присутствует великолепное изложение теории программирования, почти на пальцах, и конечно же – задачи.']",0+,2020
167,ELASTIX – общайтесь свободно,Владислав Юров,https://www.litres.ru/book/vladislav-urov/elastix-obschaytes-svobodno-9577580/,4.4,3,0,450.00,405 стр. 326 иллюстраций,405,[],12+,2015
168,Технология хранения и обработки больших данных Hadoop,Тимур Машнин,https://www.litres.ru/book/timur-mashnin-301845/tehnologiya-hraneniya-i-obrabotki-bolshih-dannyh-hado-65077172/,4.4,10,0,490.00,158 стр. 148 иллюстраций,158,[],12+,2021
169,Нейросетевое моделирование в распознавании образов. Философско-методические аспекты,Т. А. Капитонова,https://www.litres.ru/book/t-a-kapitonova/neyrosetevoe-modelirovanie-v-raspoznavanii-obrazov-filosofs-7073797/,3.0,1,0,78.00,133 стр. ,133,[],0+,2009
170,Численные методы интегрирования дифференциальных уравнений,М. Ф. Гарифуллин,https://www.litres.ru/book/m-f-garifullin/chislennye-metody-integrirovaniya-differencialnyh-uravneniy-56625466/,0.0,0,1,449.00,193 стр. ,193,"['Книга довольно сложная, нужно вникать. Есть опечатки. Предназначена для узкого круга лиц. Не могу сказать почему, но мне эта книга далась с трудом )']",0+,2020
172,Python. Великое программирование в Minecraft,А. В. Корягина,https://www.litres.ru/book/a-v-koryagin/python-velikoe-programmirovanie-v-minecraft-65989169/,4.6,24,7,449.00,222 стр. ,222,"['классная книга рекомендую потому что там все внимательно написано и все работает как там было написано вообщем книга топчик!', 'Книга отличная, как раз для обучения программированию. За начальный язык программирования взят python, а за визуальную часть minecraft.', '', 'Авторы дополнили содержание книги серверами под minecraft двух версий 1.12.2 и 1.17.1, тем самым можно писать программы под данные версии. Если компьютеры слабенькие, то версия 1.12.2, если мощный компьютер 1.17.1.', '', 'Все программы также подходят на 100% к версии minecraft под raspberry pi – данная версия бесплатная, достаточно установить операционную систему Raspberry', 'Книга супер.', 'Отличный вариант для новичков и не только.', 'Идеально для изучения питона и майнкрафта .', 'Много картинок . .', 'Ян Эмайкин, а ты что читал или на электронную книгу скачал мч', 'Код в книге настоящий момент нерабочий, первые же строки кода при попытке узнать координаты игрока выдают ошибку, отсылающуюся на один из файлов модулей. Делал все по инструкции в книге, сервер работал, объект игрока был на сервере, версия 1.12.2, то есть все требования учебника соблюдены. Заставить это работать так и не вышло.', 'Очёнь продуманно и и легко изложен материал. Прекрасное пособие для обучение детей программированию на языке python.', '', 'Материал понятен детям точно от 9 лет. Отлично проводим занятия.']",0+,2024
174,Постановка задач имитационного моделирования тактических защитных конкурентных действий,Ю. Б. Рубин,https://www.litres.ru/book/u-rubin/postanovka-zadach-imitacionnogo-modelirovaniya-takticheskih-zaschi-5025686/,0.0,0,0,96.00,29 стр. ,29,[],0+,2008
175,Разработка веб-приложений на PHP 8,Дмитрий Колесниченко,https://www.litres.ru/book/dmitriy-kolesnichenko/razrabotka-veb-prilozheniy-na-php-8-70980292/,0.0,0,0,349.00,481 стр. ,481,[],0+,2024
177,Информатика. 8 класс. Базовый уровень,А. Ю. Босова,https://www.litres.ru/book/anna-bosova/informatika-8-klass-68294039/,4.8,4,1,535.00,275 стр. ,275,"['мне нравится. это очень хорошая книга. очень вам благодарна за то, что вы выпускаете ещё больше книг с таким названием.!', 'анастасия довжик, подскажите, пожалуйста, как Вы монетизируете свои комментарии?']",0+,2023
178,Быстрое программирование на С++,Г. А. Тяпичев,https://www.litres.ru/book/gennadiy-tyapichev/bystroe-programmirovanie-na-s-8337215/,2.5,2,1,300.00,374 стр. ,374,"['Очень ценная книга! Материал так разумно расположен, что изучить С++, а главное, применить эти знания на практике, можно будет в кратчайшие сроки! Ведь именно недостаток времени является одним из тех факторов, которые нам мешают в успешном освоении материала. Простота и доступность изложения, актуальность делают материал этой книги одинаково полезным и школьникам, и учителям, и начинающим программистам, и опытным разработчикам.']",0+,2009
179,Робототехника: практическое введение для детей и взрослых,Александр Вячеславович Фролов,https://www.litres.ru/book/aleksandr-frolov-198/robototehnika-prakticheskoe-vvedenie-dlya-detey-i-vzr-55547238/,4.8,34,9,249.00,468 стр. 364 иллюстрации,468,"['Классная книга о робототехнике!', 'Редко захожу в черновики, но здесь просто не смогла пройти мимо: очень рада, что в этом разделе появляются такие увлекательные нонфикшн книги!', 'Хоть я и не школьник, очень понравилась книга! Зачем покупать дорогие конструкторы, если можно самостоятельно собрать робота при помощи данного пособия. Спасибо большое автору!', 'уточняйте тогда марки и номиналы компонентов схемы, иначе непонятно будет. или работать схема не будет. ', 'если взять ал307 и подать полтора Вольта да еще через килоомный резистор, работать не будет, ибо открываться будет на 2,66-2, 7в', 'android_b7634598-0174-1000-0000-000000000000, ', 'Здравствуйте! Спасибо за отзыв!', '', 'С выходов контроллера micro:bit подается напряжение 3,3 В, так что с этим проблем не возникнет. Все конструкции, описанные в книге, я проверил на работоспособность.', 'Хорошее начало. Добавьте в книгу материал для интеграции с lego education', 'На али даже целый корпус продается для микро. Тогда получится продолжение, для тех кто перерос лего wedo.']",6+,2020
180,VBA. Практическое программирование,О. В. Туркин,https://www.litres.ru/book/oleg-turkin/vba-prakticheskoe-programmirovanie-8339374/,5.0,4,1,250.00,127 стр. ,127,"['Для начинающего изучать VBA – неплохо, только смущает использование написания имён переменных из русского языка английскими буквами: bukva, slovo, etc.', '', 'Книга для самого первого знакомства.']",0+,2010
182,PHP и MySQL. 25 уроков для начинающих,Владимир Дронов,https://www.litres.ru/book/vladimir-dronov/php-i-mysql-25-urokov-dlya-nachinauschih-66338142/,5.0,4,5,449.00,426 стр. ,426,"['Автор не только прекрасный программист, но и обладает редким талантом – умение доходчиво объяснять. Сейчас – это большая редкость. Особое внимание уделяется терминологии. Необходимые для работы термины прописаны четко, понятно и профессионально. Материал усваивается легко и без напряжения. Надо быть просто внимательным. Такую книгу однозначно надо держать всегда под рукой всем, кто имеет отношение к верстке сайтов.', 'Купил книгу по абонементу за 1 рубль!!! Не поверил своим глазам! Поверил только тогда, когда купил и открыл для чтения. Это была акция, которая заканчивается в феврале. Я подписался на акцию – 299 руб в месяц. Эти затраты на повышение собственных знаний – лучшее вложение денег за всю жизнь. На Литрес всегда есть, что купить. Теперь о книге. Доволен на 100%. Написано профессионально и доходчиво. Для начинающих – то, что надо. А самое главное – это перспективно и всегда можно заработать в этой сфере. Рекомендую всем.', 'Отличная подача материала. Понятные и, главное, исчерпывающие объяснения. То автор не просто по верхам прошелся, но копнул довольно глубоко. Ещё что мне нравится в книгах Владимира Дронова, по крайней мере в этой серии, что если даже встречается что-то, что на текущем этапе всречается в первый раз и ещё не было объяснено, можно не сомневаться в объяснении этого понятия буквально на следующей странице. Это в отличии от многих книг, которые говорят ""А"", а с ""Б"" будьте любезны сами разбираться. В итоге в этих книгах материал понять в полном объеме. Класс!', 'Для изучения PHP и MySQL по данной книге нужно знать HTML и CSS. Для предпоследней главы нужно знать JavaScript. Даны упражнения с подробным разбором, в результате выполнения которых всё отлично запоминается.', 'Отличная книга от известного автора. В настоящее время веб-приложения очень актуальны, особенно динамические веб-сайты с использованием реляционных баз данных. Все по полочкам разложено, как надо. Для новичка самое то. Автор молодец!', 'vvvital, Баллы отзывами непрочитанных книг зарабатываете?', 'Читая Ваши однотипные отзывы под разными книгами невольно возникает дежа-вю. Возвращаюсь - и правда, читала уже то же самое под другой книгой!', 'Модераторы, обратите внимание на этого ""читателя""... Пример другого отзыва тут: https://www.litres.ru/vladimir-dronov/php-mysql-html5-i-css-3-razrabotka-sovremennyh-dinamicheskih-web-saytov-pdf-epub-19213333/otzivi/']",0+,2020
183,"Python для сетевых инженеров. Автоматизация сети, программирование и DevOps (pdf + epub)",Эрик Чоу,https://www.litres.ru/book/erik-chou/python-dlya-setevyh-inzhenerov-avtomatizaciya-seti-programmirova-68332360/,4.4,3,0,699.00,528 стр. ,528,[],16+,2020
184,Julia. Язык программирования. Быстрый старт,Вадим Никитин,https://www.litres.ru/book/vadim-nikitin-32700223/julia-yazyk-programmirovaniya-bystryy-start-69596290/,5.0,7,4,690.00,107 стр. 30 иллюстраций,107,"['Первая книга о Julia, которую я вообще встретила. Очень хорошо написана, супер-простым языком с конкретными примерами и простыми шагами. В самый раз для тех, кто только начинает разбираться в программировании и владеет только базовыми понятиями. Обучалка из разряда смотри - повторяй.', 'Хорошо написанная, простая и понятная книга. Емко, пошагово, наглядно - разберется даже ребенок. Действительно, можно держать книгу под рукой без необходимости гуглить информацию, плюс очень удобно, что есть ссылки на источники. Короче, не книга, а находка!', 'Искренне рекомендую данную книгу по причинам:', '1. Текстовый формат. Почти все электронные книги по программированию представлены в формате PDF (некоторые даже в DJVU), который очень трудно читать со смартфона. Нужен планшет или хорошая читалка. Автор данной книги предоставил ее ЛитРес в тексте, благодаря чему ее удобно читать везде, а еще можно делать пометки.', '2. Информативность. Материал отлично структурирован и качественно переведен. По сравнению с чтением официальных мануалов (даже при отсутствии проблем с английским языком) книга сэкономит вам кучу времени.', 'Это действительно отличная книга по Julia, которая знакомит как с азами языка, так и с некоторыми тонкостями, которые сильно помогут в дальнейшем освоении. Julia сама по себе логична и последовательна, и когда вы попытаетесь применить базовые приемы из книги к новым типам объектов, они почти всегда будут вести себя так, как вы ожидаете.', 'Искренне рекомендую данную книгу по причинам:', '1. Текстовый формат. Почти все электронные книги по программированию представлены в формате PDF (некоторые даже в DJVU), который очень трудно читать со смартфона. Нужен планшет или хорошая читалка. Автор данной книги предоставил ее ЛитРес в тексте, благодаря чему ее удобно читать везде, а еще можно делать пометки.', '2. Информативность. Материал отлично структурирован и качественно переведен. По сравнению с чтением официальных мануалов (даже при условии отсутствия проблем с английским языком) книга сэкономит вам кучу времени.', 'Это действительно отличная книга по Julia, которая знакомит как с азами языка, так и с некоторыми тонкостями, которые сильно помогут в дальнейшем освоении. Julia сама по себе логична и последовательна, и когда вы попытаетесь применить базовые приемы из книги к новым типам объектов, они почти всегда будут вести себя так, как вы ожидаете.', 'Андрей Павлюченко, почему-то напечаталось два одинаковых отзыва :(']",12+,2023
